name, lng, lat
Saqr Qoraish Experimental School, 31.287151, 29.989318
Sara Taqy Ellah Experimental Language School, 31.283899, 30.066192
Semouha Experimental Language School, 29.9543711, 31.2091723
Semouha Preparatory Experimental Language School, 29.9544062, 31.2091769
Shawkat Official Language School, 29.964223, 31.236394
Shebin El Qanater Preparatory Experimental School, 31.3154662, 30.3139536
Shoubra Experimental Language School, 31.240373, 30.07097
Smouha Experimental Language Schools For Girls, 29.9543603, 31.2091814
Soliman Yousry Experimental School, 29.908364, 31.195623
Suzan Mubarak Experimental Language School, 31.2451681, 30.0240713
Taher Bey Official Language School, 29.8761207, 31.1745929
Talaat Harb Experimental Language School, 30.063325, 31.311017
Talaat Harb Experimental School, 29.9247971, 31.1847238
Talaat Harb Primary Experimental Language School, 31.2722526, 30.0690098
Talaea El Agami Experimental Primary School, 29.786301, 31.104952
Talaea El Mostaqbal Official Language School, 31.2598773, 30.0785201
Tanta Official Language School, 31.018096, 30.776241
Taqseem El Zohour Experimental Language School, 30.0210891, 31.2744879
Tarek Ibn Zeyad Experimental Language School, 31.2475369, 30.1030212
Tharwat Experimentaly School For Girls, 29.971422, 31.246407
Umm El Abtal Experimental Language School, 31.180985, 30.002308
Wabor El Meyah Experimental Language School, 29.9201604, 31.1992712
Yehia El Rafeay Experimental Preparatory School, 31.342765, 30.096506
Yemen Experimental School, 29.8295438, 30.9007932
Youssef El Sebaey Governmental Language School, 31.333844, 30.104055
Youssef Gad Allah Experimental Language School, 31.15147, 29.99041
Zahraa Nasr City Primary Experimental Language School, 31.3861959, 30.052354
Zaid Ibn Haretha Experimental School, 29.7793503, 31.1112934
Zein El Abedeen Experimental Language School, 31.3404569, 29.8448135
