ATM,Address,lat,lon
Sheikh Zayed (Ismaelia),Commercial Street beside Ismailia Governorate,30.6056623,32.2974712
Sheikh Zayed,"1st District , Zayed City Center, Sheikh Zayed",30.0404759,31.0081306
Shebin Elkom,8 El Madares St.,30.6109903,30.9871289
Sharm El Sheikh,Hadabt Am El sed - Banking Area Sharm El Sheikh,27.8601686,34.3043107
Semad Abu Qir,El Tabia Line Beside Abu Qir Building,31.268971,30.101377
Samannoud,"El Bahr street, - Samanoud - Gharbia",30.961924,31.246238
Samalut,Masr Asyut St.,28.315578,30.710977
Salam,"23 July street, Al Ahlia Insurance Company building - El Mahala El Kobra",30.974659,31.167303
Safaga,Gomhouria St.,26.725225,33.93695
Sadat,9 Mahwar El Khadamat - Sadat City,30.375819,30.501845
Saad Zaghloul,59 Saad Zaghloul St.,31.200372,29.900526
Roxy,"14 Ibrahim El Lakany st, Roxy",30.091466,31.319318
Rashid,"Abd El Salam Araf st, Rashid",31.400945,30.417548
Quweisna,Ibrahim El Khaliel street,30.54928,31.136171
Qus,El Gomhouria Street - Qus,25.9179279,32.759074
Qena,Al Shaheed Abd Almaneem Riad Sq. - Qena,26.158158,32.715611
Qantra Gharb,"Cross El Tahrir st, and El Geesh st",30.854135,32.309128
Qaha,"El Qanatir El Khiria st, Qaha",30.2781834,31.2062359
Port Tawfik,9 El Mohafez St.,29.951165,32.569436
Port Said,18 Algamhoria &amp; El Gaberty,31.264864,32.311869
Port Fouad,"9 National Party Housing Complex, in front of Port Said University",31.2452829,32.3202217
Nubareya,Nubareya City - in front of El Nubareya administrative building,31.1950193,29.8976478
Nozha,"178 Nouzha St., Saint Fatima Sq.",30.107445,31.344177
Naama Bay,Villa 2 - Kriss - Salam Road - Sharm Elsheikh,27.910976,34.318414
New Qena,"23 July street, forward of pizza Home",26.1585027,32.7142891
New Nozha,12 Abrahim El Shawarby,30.121675,31.367643
New Kafr El-Zaiyat Branch,El Bahr St.,30.8240538,30.811404
New Damieta,"1st Neighborhood, 1st District, Beside Islamic Studies College",31.430741,31.691973
New Bani Sweif,New Bani Suef - East Nile,29.072869,31.113147
Nasr City Club,"5 El Mokhayam El Daem St., in front of El Azhar University",30.059242,31.309715
Nasr City,"9 Abd Alla El Arabi st, Nasr City",30.049591,31.327367
Nagaa Hamady,Talaat Harb St,26.0505756,32.2420514
Nabarouh,El Mafarek St.,31.0968491,31.2961301
Muski,14 Gohar El kaied - El Muski,30.048872,31.256599
Met Ghamr,"Al Horia st, Met Ghamr",30.717996,31.252673
Menya,23 El Horreya St.,28.101063,30.757197
Mena El Basal,Othman Abaza Corner in front of History Bridge,31.183508,29.885833
Marsa Matrouh,63 69 Tahrir St.in frount of Marsa Matrouh Court,31.353568,27.236577
Mansoura,139 El Gomhouria St.,31.047258,31.37691
Manshah,3 west salah salem street - El Manshah,26.4776126,31.8010479
Manial,5 Mamalik Sq. Paybars Tower,30.013459,31.225111
Manfalut,25 El Soultan Hassan,27.3085285,30.9655049
Mallawi,Bank Misr street.- Mallawi - Menya,27.73713,30.847273
Mahala,"23 July st, El Mahala",30.97467,31.167309
Maghagha,85 El Gomhouria St. in front of hall city,28.6477891,30.8429146
Maamoun,Cross Maamoun St and Mohamed Osman - Tanta,30.786984,30.991042
Maadi,2 Wahib Doss St.in front of Maadi Underground,29.960256,31.258947
Luxor,"55 Nile St, Luxor",25.705767,32.643127
Latif Helwan,33 Haidar - Latif Sq.,29.8424377,31.3358483
Kuseya,57 El Galaa Street - Quseya,27.4393882,30.8222803
Kom Ombo,"53 Abbas st, beside Naser Mosque",24.4766374,32.9458818
Kiroseiz,9 Ibrahim Sherif st. Mostafa Kamal - Alexandria,31.223321,29.948279
Khanka,"The Central Hospital St, Khanka",30.221943,31.360894
Khalifa Maamoun .,"21 El Khalifa El Maamoun st, Roxy",30.088282,31.310367
Kafr El-Zaiyat,Abu Bakr El Sedeec street - Kafr El-Zaiyat,30.8255648,30.8120316
Kafr El Sheikh,18 El Kholafaa El Rashedeen St.,31.1127023,30.9392461
Kafr El Dawar,"89 port said st, kafr El Dawar",31.1341228,30.1367104
Isna,"Nahr El Nil street, Isna",25.2993594,32.5553066
Ismailia,"25 Khaled Ibn El Waleed St,",30.5926873,32.2718185
Industrial Zone (Ismailia),Industrial Zone - Ismailia,30.583294,32.203862
Industrial Mubarak Region,"El Talateen St., Next to Regional Administration Quisna",30.5379412,31.1770535
Hurghada,El Nasr Road El Dahar - Hurghada,27.247171,33.823897
Helwan,"40 Mohamed Said Ahmed st, - Helwan",29.847214,31.331919
Heliopolis,99 Merryland St. Heliopolis,30.099771,31.322944
Hehya,El Gomhouria Street - Hehya,30.6723842,31.5899232
Hawamdiya,"1 Masr Asiyut Agricultural Road, in front of Hawamdiya Traffic",29.901933,31.269826
Haram,187 El Haram St Spatis Station,29.994473,31.162583
Hadayek El Qobba,"18 El Qods St., Off Waley El Ahd St.",30.093629,31.288967
Gomhouria (Fayoum),El Gomhouria St.,29.30885,30.843456
Gleem Al Teram,174 Abdel Salam Araf - Saba Pacha,31.23861111,29.96222222
Gleem,174 Abdel Salam Aref,31.237456,29.957914
Giza,"511 El Ahram st., Giza square, Giza",30.014688,31.211139
Girga,5 Saad ZaglolStreet - Girga,26.3366579,31.8903762
Ghamra,"227 Ramses St, - Cairo",30.0664779,31.2601724
Garden City,"20A Gamal El Din Abou El Mahasen St., Garden City",30.0369999,31.2310973
Gameet El-dewel El-Arabia,"31 Gameat El Dowal El Arabia St., ........ (Deposit)",30.051381,31.199423
Fayoum,"Gamal Abd Nasr st, Fayoum",29.311897,30.849647
Faraskur,El Cournish,31.327989,31.717674
FAO,11 El Eslah El Zeraie street - Dokki,30.044239,31.208749
Falaki,"8 El Maglis El Shaab st, Cairo",30.039561,31.23825
Fakous,Taaret El Menya St.,30.72194444,31.79361111
El Tayaran,"15 El Tayaran St., Rabaa Eladawea Sq.",30.068003,31.3245589
El Suez,"384 El Geesh St, - Suez",29.971456,32.550001
El Hamoul,10th of Ramadan Street - El Hamol,31.3107461,31.1503923
El Dekhila,2 National Steel Company premises,31.120317,29.803237
El Bagour,"El Gish St, Amam el nasb eltezkary - El Bagour Monofiya",30.4253838,31.037364
El Badary,Beside Police station,26.9929562,31.4156467
Edfo,"Cornish El Nil st,",24.9790657,32.881844
