"adm1","hospital","address","phone","specialized","lat","lng"
"Kalyoubia","شبين القناطر المركزى","شبين القناطر","2720011",FALSE,30.3183124,31.3093024
"Kalyoubia","طوخ المركزى","ش. الشهيد احمد عبد العزيز","2460131",FALSE,30.3638406,31.1962581
"Kalyoubia","قليوب المركزى","ش. العاشر من رمضان","42157673",FALSE,30.1801448,31.2218678
"Kalyoubia","قها المركزى","ش. مجلس المدينة","132601049",FALSE,30.2862985,31.2071656
"Kalyoubia","كفر شكر المركزى","كفر شكر","013/2526740",FALSE,30.55314,31.2526703
"Kalyoubia","مستشفى حى شرق (بهتيم) المركزى","135 ش. بهتيم العمومى - خلف محطة الكهرباء","48241726",FALSE,30.1379913999999,31.2719202
"Kalyoubia","ناصر العام","ارض نوبار خلف مصانع كريستال عصفور","42201744",FALSE,30.124435,31.258292
"Menoufia","اشمون المركزى","ش. بورسعيد","048/3442029",FALSE,30.2956975,30.9892049
"Menoufia","الباجور المركزى","طريق الباجور منوف بجوار محطة المياه","048/3889075",FALSE,30.432699,31.029017
"Menoufia","السادات المركزى","المنطقة الاولى - ش. الحسن بن على","048/2600047",FALSE,30.3670769,30.5059107
"Menoufia","الشهداء المركزى","ش. بور سعيد","048/2750383",FALSE,30.5977250999999,30.9052277
"Menoufia","بركة السبع العام","طريق هورين - البر الشرقى","048/2994200",FALSE,30.6355611,31.0902881
"Menoufia","تلا المركزى","ش. السادات امام مجلس المدينة","048/3790404",FALSE,30.6844858,30.9502834
"Menoufia","زاوية الناعورة المركزى","زاوية الناعورة","048/2772314",FALSE,30.546114,30.8615579
"Menoufia","سرس الليان المركزى","ش. بور سعيد","048/3531431",FALSE,30.4424808,30.9609492
"Menoufia","قويسنا المركزى","الطريق السريع","048/2573686",FALSE,30.5526142,31.1389988
"Menoufia","منوف العام","ش. الجيش","048/3660012",FALSE,30.4720714,30.9273746
"Menia","العدوة المركزى","ش. بور سعيد","086/7961624",FALSE,28.6950816,30.7745343
"Menia","الفكرية المركزى","ابو قرقاص - ش. بورسعيد","086/2429850",FALSE,27.9352659,30.822401
"Menia","المنيا العام","ش. بن خصيب بجوار الشبان المسلمين","086/2364099",FALSE,28.100991,30.754063
"Menia","بنى مزار المركزى","ش. الابراهيمية","086/7882081",FALSE,28.505166,30.8009005
"Menia","دير مواس المركزى","ش. 26 يوليو","086/2010503",FALSE,27.6442751,30.8576431
"Menia","سمالوط المركزى","الطريق الزراعى","086/7713931",FALSE,28.2960914,30.7102247
"Menia","مطاى المركزى","امتداد ش. الابراهيمية بجوار مجلس المدينة","086/7920503",FALSE,28.4215752,30.7905092
"Menia","مغاغة المركزى","ش. المدارس","086/7550035",FALSE,28.6553588,30.8319363
"Menia","ملوى العام","الترعة الديروطية نهاية ش. 26 يوليو","086/2632266",FALSE,27.729539,30.831981
"New Valley","الخارجة العام","ش. النبوى المهندس","7920777",FALSE,25.4431002,30.549497
"New Valley","الداخلة المركزى","موط","7821555",FALSE,25.4955024,28.9878023
"New Valley","الفرافرة المركزى","الفرافرة","7510047",FALSE,27.0678439,27.9733425
"New Valley","باريس المركزى","باريس","7975006",FALSE,NA,NA
"New Valley","بلاط","بلاط","-",FALSE,NA,NA
"Beni Suef","الفشن المركزى","الفشن","7660346",FALSE,28.8320544,30.9004724
"Beni Suef","الواسطى المركزى","ش. سعد زغلول","2510310",FALSE,29.3507958,31.2030548
"Beni Suef","اهناسيا المركزى","اهناسيا","5720430",FALSE,29.0883939999999,30.9435749
"Beni Suef","ببا المركزى","ش. المستشفى","4400333",FALSE,28.92645,30.972844
"Beni Suef","بنى سويف العام","كورنيش النيل","323243",FALSE,29.0640531,31.1028314
"Beni Suef","سمسطا المركزى","سمسطا","7600309",FALSE,28.9131464,30.8523881
"Beni Suef","ناصر المركزى","ناصر","5821401",FALSE,29.1449997,31.132912
"Port Said","الزهور المركزى","حى الزهور - منطقه عمر بن عبدالعزيز","066/3631152",FALSE,31.2625901,32.2585899
"Port Said","النصر المركزى","ش. عبد الهادى الحديدى - طريق النصر","066/3224797",FALSE,31.2677762,32.2775531
"Port Said","بور سعيد العام","ش. صفية زغلول - طريق النصر","066/3220695",FALSE,31.2637118,32.3049254
"Port Said","بورفؤاد المركزى","منطقة العبور  - تعاونيات بورفؤاد","066/3400849",FALSE,31.2443266,32.3187401
"South Sinai","ابو رديس","ابو رديس","3394014",FALSE,28.9102881,33.1926155
"South Sinai","الطور العام","طور سيناء","3770320",FALSE,28.2471992,33.6226494
"South Sinai","دهب المركزى","دهب","3640208",FALSE,28.4843224,34.494584
"South Sinai","راس سدر","راس سدر","3400214",FALSE,29.5899281,32.7103379
"South Sinai","سانت كاترين","سانت كاترين","3470386",FALSE,28.5665927,33.9528618
"South Sinai","طابا","طابا","3530231",FALSE,29.493174,34.897201
"South Sinai","نويبع المركزى","نويبع","3500302",FALSE,29.0342447,34.6593396
"Damietta","الروضة المركزى","الروضة - بجوار الوحدة المحلية","057-3470418",FALSE,31.325262,31.758889
"Damietta","الزرقا المركزى","ش. النور","057-3858567",FALSE,31.2083327,31.6371274
"Damietta","السرو المركزى","السرو - ش. المستشفى","057-3886099",FALSE,NA,NA
"Damietta","دمياط العام","ش. سعد زغلول امام المحافظة","057-2224340",FALSE,31.4143242,31.8054767
"Damietta","راس البر المركزى","راس البر - ش. 2 من ش. المديرية عشة 2","057-2530327",FALSE,31.5159309,31.8356207
"Damietta","عزبة البرج المركزى","عزبة البرج - ش. الفنار","057-2700309",FALSE,31.5072333,31.8365121
"Damietta","فارسكور المركزى","طريق 5 الحديث","057-3440315",FALSE,31.3350768,31.7189225
"Damietta","كفر البطيخ المركزى","كفر البطيخ - امام مجلس المدينة","057-6660705",FALSE,31.404299,31.7382815
"Damietta","كفر سعد المركزى","كفر سعد","057-3602633",FALSE,31.359735,31.690273
"Damietta","م . دمياط التخصصى","دمياط كورنيش النيل الأعصر الشارع الحربي","057/57332442",FALSE,31.4370815,31.8013314
"Damietta","ميت ابو غالب المركزى","ميت ابو غالب","057-3733818",FALSE,31.29128,31.677571
"Suhag","اخميم المركزى","طريق ناصر الزراعى (اخميم - سوهاج )","093/2589263",FALSE,26.562332,31.729969
"Suhag","البلينا المركزى","ش. الجمهورية بجوار محطة القطار","093/4800301",FALSE,26.2340422,31.996817
"Suhag","المراغة المركزى","ش. المستشفى","093/2530763",FALSE,26.7008715,31.6009978
"Suhag","المنشاة المركزى","ش. عبد المنعم رياض","093/2400333",FALSE,26.479816,31.797351
"Suhag","اولاد حمزه المركزى","اولاد حمزه - العسيرات","093/4935340",FALSE,26.393609,31.822806
"Suhag","جرجا العام","ش. عبدالمجيد مصطفى","093/4676034",FALSE,26.3462727,31.8878818
"Suhag","جزيرة شندويل","جزيرة شندويل","093/2470023",FALSE,26.6232462,31.6402146999999
"Suhag","جهينة المركزى","ش. الشهداء - جهينة الغربية","093/4707793",FALSE,26.669027,31.503022
"Suhag","دار السلام المركزى","دار السلام","093/4850333",FALSE,26.279001,32.058357
"Suhag","ساقلته المركزى","ش. التحرير","093/2510333",FALSE,26.658361,31.666374
"Suhag","سوهاج العام","ش. محمود فهمى النقراشى - ميدان العارف","093/2332007",FALSE,26.5463253,31.7007746
"Suhag","طما المركزى","ش. احمد عرابى","093/2790713",FALSE,26.8968915,31.4420548
"Suhag","طهطا العام","ش. احمد نمير","096/5334394",FALSE,26.7739223,31.4973541
"North Sinai","الشيخ زويد المركزى","حى الكوثر","068/3500323",FALSE,31.2227108,34.1236424
"North Sinai","العريش العام","ش. الجيش من ش. 23 يوليو","068/3352938",FALSE,31.1356206,33.8097898
"North Sinai","بئر العبد المركزى","الشارع العام","068/3540005",FALSE,31.010663,32.994722
"North Sinai","رفح المركزى","حى الصفا - ش. قطاع الامن المركزى","068/3300459",FALSE,31.2570185,34.2277658
"North Sinai","نخل المركزى","نخل","068/3600343",FALSE,29.9099331999999,33.7450699
"Qena","ابو تشت المركزى","ش. المستشفى","096/6710605",FALSE,26.1257877,32.101405
"Qena","الوقف المركزى","السنابسه","096/5440019",FALSE,26.0927766,32.425257
"Qena","دشنا المركزى","ش. طراد النيل - الصعايدة","096/6740502",FALSE,26.1240085,32.4735163
"Qena","فرشوط المركزى","ش. بور سعيد","096/6510527",FALSE,26.0599199,32.1578727
"Qena","قفط المركزى","ش. الجيش","096/6910671",FALSE,25.9959674,32.8102957
"Qena","قنا العام","ش المدارس قنا","096/5337101",FALSE,26.1596439,32.7073087
"Qena","قوص المركزى","ش. النيل","096/6840522",FALSE,25.9217588,32.7515262
"Qena","نجع حمادى العام","ش. التحرير","096/6580191",FALSE,26.0580021,32.2289622
"Qena","نقادة المركزى","ش. طراد النيل","096/6600440",FALSE,25.908751,32.726372
"Kafr El-Shikh","الحامول المركزى","ش. عمر بن الخطاب","047/3800441",FALSE,31.3110097,31.1489493
"Kafr El-Shikh","الرياض المركزى","الرياض - طريق الحامول","047/3860747",FALSE,31.2552851,30.9668219
"Kafr El-Shikh","بلطيم المركزى","طريق المصيف","047/2510860",FALSE,31.557625,31.0815239
"Kafr El-Shikh","بيلا المركزى","ش. الثورة","047/3605131",FALSE,31.1776606999999,31.2273663
"Kafr El-Shikh","دسوق العام","ش. المستشفى","047/2563050",FALSE,31.1377548,30.6441173
"Kafr El-Shikh","سيدى سالم المركزى","ش. الكورنيش","047/2700513",FALSE,31.2680834,30.7845283
"Kafr El-Shikh","فوه المركزى الجديد","ش. الفتح بجوار مدرسه التجاره","047/2976777",FALSE,31.204634,30.545978
"Kafr El-Shikh","قلين المركزى","ش. الجمهورية","047/3400488",FALSE,31.0493263,30.8490729
"Kafr El-Shikh","كفر الشيخ العام","ش. الدستور - بندر كفر الشيخ","047/3232407",FALSE,31.1165211,30.9426713
"Kafr El-Shikh","مطوبس المركزى","ش. داير الناحية","047/2710821",FALSE,31.2926982,30.5249602
"Matrouh","الحمام المركزى","ش الاسكندرية مدينة الحمام","046/4750844",FALSE,30.8518032,29.3848929
"Matrouh","السلوم المركزى","ش. السلوم الرئيسى","046/4800020",FALSE,31.560929,25.159453
"Matrouh","الضبعة المركزى","الضبعة","046/4670019",FALSE,31.030592,28.445541
"Matrouh","العلمين المركزى","امام مجلس المدينة","046/4100212",FALSE,30.8428046,28.9402713
"Matrouh","النجيلة","النجيلة","046/4540130",FALSE,31.407504,26.5782827
"Matrouh","رأس الحكمة للإغاثة والطوارىء","طريق اسكندرية -الطريق السريع قبل مرسى مطروح ب65 ك","046/4500006",FALSE,31.1125298,27.8231657
"Matrouh","سيدى برانى المركزى","سيدى برانى","046/4400070",FALSE,31.610612,25.926092
"Matrouh","سيوه المركزى","منطقة الرمل - ش. السادات","046/4602019",FALSE,29.1947239,25.5168424
"Matrouh","مارينا المركزى","ش الشانزلزية الساحل الشمالي مطروح","046/4060005",FALSE,30.817671,29.030981
"Matrouh","مطروح العام","ش. اسكندرية","046/4933355",FALSE,31.3492894,27.2413547
"Aswan","السد العالى شرق","نفسية السد العالى وعلاج ادمان","097/3480652",TRUE,NA,NA
"Aswan","حميات ادفو","ش. مجلس المدينة","097/4707817",TRUE,24.9620313,32.868836
"Aswan","حميات اسوان","المدينة الصناعية بجوار المسلة الناقصة","097/2302523",TRUE,24.0761296,32.8931353
"Aswan","رمد اسوان","ش. ابطال التحرير","2303025",TRUE,24.0925978,32.8969345
"Aswan","صدر ادفو","ش. كورنيش النيل","097/4711723",TRUE,NA,NA
"Aswan","صدر اسوان","ش. السماد امام كلية التربية","097/2252877",TRUE,NA,NA
"Assiut","اسيوط للصحة النفسية","ش. كوبرى الملك فيصل بجوار مديرية الشئون الصحية","088/9202136",TRUE,27.1858736,31.1677693
"Assiut","الصحة الانجابية","ش. المحطه","4710810",TRUE,NA,NA
"Assiut","حميات اسيوط","ش. جسر السلطان - حى السادات","088/2333317",TRUE,27.1747691,31.1882758
"Assiut","حميات الشامية","ساحل سليم - الشامية","088/2633888",TRUE,NA,NA
"Assiut","رمد اسيوط","ش. الجمهورية ميدان 6 اكتوبر بجوار مركز التدريب","2322100",TRUE,27.1938071,31.1864314
"Assiut","صدر اسيوط","ش. كوبرى الملك فيصل بجوار المديرية","2181552",TRUE,27.1946908,31.1766021999999
