bureau,lat,lon
Health Bureau - El Safa,29.3682255,32.174605
Health Bureau - El Salam 1,30.1581027,31.4132339
Health Bureau - El Salam 2,29.9932522,31.2119442
Health Bureau - El Salam District,30.5978164,32.268461
Health Bureau - El Salloum,31.5611584,25.1590884
Health Bureau - El Santa 1,30.7279591,31.1214405
Health Bureau - El Santa 2,30.7279591,31.1214405
Health Bureau - El Sayda Zeinab 2,30.0318525,31.2473902
Health Bureau - El Sayeda Zeinab 1,30.0318525,31.2473902
Health Bureau - El Sayeda Zeinab 3,30.034394,31.237909
Health Bureau - El Senbelawain,30.8805955,31.4602062
Health Bureau - El Seyouf,31.230527,29.972501
Health Bureau - El Sharabeya,30.072097,31.261795
Health Bureau - El Sheikh Zayed,30.6063825,32.2924662
Health Bureau - El Sheikh Zowaid,31.2117921,34.1104138
Health Bureau - El Sherouk City,,
Health Bureau - El Tahrir,30.5916318,32.2692454
Health Bureau - El Tal El Kabir,30.5608382,31.7834634
Health Bureau - El Tebeen 1,29.7816181,31.3026883
Health Bureau - El Waily El Kabir,30.0629332,31.2464422
Health Bureau - El Waqf,26.092462,32.4254051
Health Bureau - El Wardeyan,31.1644252,29.8688475
Health Bureau - El Wasta,29.343125,31.204121
Health Bureau - El Zagazig 2,30.592752,31.5084914
Health Bureau - El Zagazig 3,30.5760494,31.4863169
Health Bureau - El Zaher,30.0669167,31.2622002
Health Bureau - El Zahraa,30.1365912,31.3503456
Health Bureau - El Zaitoun 2,30.106957,31.308684
Health Bureau - El Zaitoun1,30.106957,31.308684
Health Bureau - El Zarqa,31.2050155,31.6351801
Health Bureau - El Zawya 2,30.1016,31.2775
Health Bureau - El Zawya 3,30.1016,31.2775
Health Bureau - El Zawya El Qadima,30.092667,31.271599
Health Bureau - Esna,25.6934787,32.6500248
Health Bureau - Etay El Baroud,30.8852615,30.6653041
Health Bureau - Etsa,29.2378946,30.7913458
Health Bureau - Fanara,30.2764878,32.3478109
Health Bureau - Faqous,30.5401907,31.6967942
Health Bureau - Farshout,26.0338322,32.1632516
Health Bureau - Fawah,,
Health Bureau - Fleming,31.2414263,29.969073
Health Bureau - Gehaina,26.6690517,31.5020889
Health Bureau - Gerga,31.2112772,29.9268459
Health Bureau - Ghait El Enab,31.179272,29.908578
Health Bureau - Ghorbal,31.186664,29.904361
Health Bureau - Giza 1,30.016541,31.215189
Health Bureau - Giza 2,30.0961895,31.2457998
Health Bureau - Giza 4,30.010367,31.211819
Health Bureau - Godayla,31.0456693,31.3694089
Health Bureau - Hadaeq Shoubra,30.0629332,31.2464422
Health Bureau - Hagar El Nawateya,31.2200134,29.9898219
Health Bureau - Haram,29.993357,31.160473
Health Bureau - Heliopolis,30.095,31.3258
Health Bureau - Helwan 1,29.8456316,31.3329545
Health Bureau - Helwan 2,29.840575,31.319304
Health Bureau - Housh Eissa 1,30.9098468,30.2952021
Health Bureau - Housh Eissa 2,30.9098468,30.2952021
Health Bureau - Hurghada,27.261116,33.818778
Health Bureau - Ibshway,29.3565049,30.6795359
Health Bureau - Ihnasya,29.0907493,30.9405936
Health Bureau - Imbaba 1,30.068948,31.2120471
Health Bureau - Imbaba 2,30.0889622,31.2102759
Health Bureau - Kafr El Dawar 1,31.1286098,30.6427628
Health Bureau - Kafr El Dawar 2,31.1335305,30.1291519
Health Bureau - Kafr El Dawar 3,31.1335305,30.1291519
Health Bureau - Kafr El Pasha,30.1530617,31.3772026
Health Bureau - Kafr El Sheikh 1,31.112112,30.938014
Health Bureau - Kafr El Sheikh 2,31.112112,30.938014
Health Bureau - Kafr El Zayyat 1,30.826579,30.818141
Health Bureau - Kafr El Zayyat 2,30.826579,30.818141
Health Bureau - Kafr Saad,31.355766,31.687171
Health Bureau - Kafr Saqr,30.7948201,31.6289306
Health Bureau - Karmouz,31.179272,29.908578
Health Bureau - Kasfareet,30.2585251,32.3972064
Health Bureau - Koum El Nour,30.7292479,31.2994266
Health Bureau - Koum Hamada,30.5708404,30.7117074
Health Bureau - Koum Ombo,24.482614,32.947953
Health Bureau - Luxor 1,30.131102,31.3497637
Health Bureau - Luxor 2,25.6353921,32.5935544
Health Bureau - Maadi,29.9675207,31.2584768
Health Bureau - Madinet El Nour,30.000733,31.158054
