office,lat,lon
Post Office - Abbad Sharouna,28.6476243,30.8432204
Post Office - Atf Haidar,28.6978527,30.768098
Post Office - Absoug,28.822718,30.899205
Post Office - El Fashn,28.8228403,30.8991338
Post Office - Zawyet El Naweya,28.904877,30.886939
Post Office - Bani Mady,28.9219676,30.984424
Post Office - Bedehl,28.9490848,30.8613785
Post Office - Saft Rashin,28.9706518,30.911689
Post Office - Nuweibaa,28.976759,34.664415
Post Office - Sannour,28.985863,31.059313
Post Office - Barawet El Waqf,29.024672,31.0407505
Post Office - Bani Soliman El Sharqeya,29.0299861,31.0826465
Post Office - El Halabeya,29.036529,31.055149
Post Office - Ehwa,29.041538,31.002794
Post Office - Abou Zeneima,29.048985,33.121836
Post Office - Tazment El Sharqeya,29.053248,31.059679
Post Office - Barout El Qamar,29.056245,31.024413
Post Office - El Deweya,29.060127,31.089741
Post Office - Ihnasya El Khadraa,29.0661274,31.0993845
Post Office - Bayad El Arab,29.066392,31.132396
Post Office - Banisuef El Gadida,29.0689,31.0998792
Post Office - Tazmant El Gharbeya,29.072712,31.061218
Post Office - Banisuef 2,29.075202,31.089849
Post Office - Banisuef,29.076314,31.0957584
Post Office - Domoshya,29.076988,31.023812
Post Office - Bani Haroun,29.077569,31.074976
Post Office - Moqbal,29.0799774,31.1027088
Post Office - Courts Complex,29.081006,31.092515
Post Office - Ihnasya El Madina,29.0865157,30.9461562
Post Office - Bani Affan,29.090208,31.050752
Post Office - Bani Hany,29.0907493,30.9405936
Post Office - Sherif Pasha,29.103895,31.131409
Post Office - Naaim,29.116967,31.088888
Post Office - El Dawalta,29.119081,31.065041
Post Office - Baha,29.139399,31.013092
Post Office - Hager Bani Soliman,29.162617,30.991591
Post Office - Qalamsha,29.164841,30.838575
Post Office - Ashmant,29.170689,31.1022942
Post Office - Siwa,29.2048904,25.5207578
Post Office - El Menia El Fayoum,29.224991,30.747172
El Gaafra Post Office,29.2257441,30.7523096
Post Office - Demshqin,29.232284,30.934608
Post Office - Qalhana,29.233292,30.841654
Post Office - Abou Gandeer,29.2378946,30.7913458
Post Office - El Maqrany,29.264551,30.637429
Post Office - Metoul,29.2680655,30.7553827
Post Office - Senoufar,29.281948,30.868027
Post Office - Taba,29.2838624,34.7331143
Post Office - Ibgig,29.284831,30.815167
Post Office - El Hamouly,29.285747,30.615848
Post Office - Abou Donqash,29.2902916,30.6790326
Post Office - Desya,29.295415,30.766084
Post Office - Gardo,29.299082,30.713588
Post Office - El Sheikh Hassan Buildings,29.300665,30.833784
Post Office - El Goun,29.3050846,30.8456862
Post Office - Central El Fayoum,29.305723,30.843383
Post Office - Tabhar,29.3079318,30.7085721
Post Office - Bani Saleh,29.3084021,30.8428497
Post Office - El Nazla,29.308792,30.649959
Post Office - Dar El Ramad,29.315885,30.848178
Post Office - Shat El Nil,29.331293,31.219611
Post Office - Abou Sir El Malaq,29.3341042,31.2049538
Post Office - El Agamain,29.342225,30.718146
Post Office - El Khawagat,29.346334,30.569069
Post Office - Sila,29.353046,30.868027
Post Office - Abou Kesah,29.3570143,30.6805381
Post Office - Youssef El Seddik,29.361753,30.444236
Post Office - Motartares,29.363198,30.902785
Post Office - Ibshaway,29.3657892,30.6849925
Post Office - El Shawashna,29.373646,30.606963
Post Office - El Seleyeen,29.379599,30.792791
Post Office - El Mosharrak El Qebly,29.384183,30.565276
Post Office - El Falah El Gharby,29.392153,30.539443
Post Office - Naqalifa,29.394848,30.825975
Post Office - Sersena,29.397664,30.965139
Post Office - Faidyamin,29.4064995,30.7676565
Post Office - Kafr Qandil,29.4080614,31.252741
Post Office - Kahk,29.413117,30.628375
Post Office - Sennouras,29.416673,30.867609
Post Office - El Reqqa,29.432889,31.221596
Post Office - Gabala,29.446658,30.894522
Post Office - Kafr El Wasleen,29.451091,31.272134
Post Office - El Qababat,29.457543,31.268748
Post Office - Shakshouk,29.462704,30.706679
Post Office - Tameya,29.473432,30.953099
Post Office - Fanous,29.4779861,30.961645
Post Office - Kafr Tarkhan,29.490601,31.227151
Post Office - Kafr Ammar,29.4980579,31.236342
Post Office - El Wedy,29.5218973,31.2775298
Post Office - El Eqeba,29.5291228,35.0044152
Post Office - Oskor,29.533104,31.289792
Post Office - El Lesht,29.5689758,31.2302876
Post Office - El Aateyat,29.5756872,31.294635
Post Office - Bamha,29.588382,31.238879
Post Office - El Fahmeen,29.597422,31.288629
Post Office - Arab El Hesar El Qebleya,29.6135534,31.3157193
Post Office - El Aqwaz,29.619614,31.292673
Post Office - Bahbeet,29.6202339,31.2595043
Post Office - El Ayyat,29.620855,31.257238
Post Office - Tahma,29.6298733,31.2362867
Post Office - El Saff,29.6393073,31.3240213
Post Office - El Balida,29.6440148,31.2697105
Post Office - El Atf,29.652175,31.274701
Post Office - Manshaet Fadel,29.692722,31.267313
Post Office - El Ekhsas,29.7055207,31.2852361
Post Office - Ghammaza El Kobra,29.710567,31.299804
Post Office - El Menia Giza,29.7456402,31.2983463
Post Office - Zawyet Dahshour,29.751809,31.241533
Post Office - El Shobak El Sharqy,29.777713,31.300996
Post Office - El Badrasheen,29.793209,31.246281
Post Office - Helwan El Balad,29.813217,31.30539
Post Office - El Marazeeq,29.819609,31.257853
Post Office - El Shenbab,29.826067,31.254212
Post Office - 15th Of May 7,29.830952,31.38358
El Mogamaa El Sakany Post Office,29.8358599,31.3474182
Post Office - 15th Of May 3,29.8368766,31.3607392
Post Office - Manshaet El Gamal,29.838141,31.304361
Post Office - El Ezbetein,29.8386379,31.3355077
Post Office - El Abageya Bldgs.,29.839281,31.348925
Post Office - El Iskan El Eqtesadeya,29.840575,31.319304
Post Office - Zahraa Helwan,29.8476019,31.3329398
Industrial Housing Post Office,29.8483192,31.3368529
Post Office - Saqqara,29.85,31.216667
Post Office - Meet Rahina,29.8508937,31.2424373
Post Office - Ezbet El Walda,29.8669175,31.3035186
Post Office - Helwan University,29.8672417,31.316174
Iskan El Nasr Post Office,29.8884737,31.3075526
Post Office - Abou Sir,29.889675,31.218114
Hadayek Helwan Post Office,29.898453,31.301598
Post Office - El Wahat El Bahareya,29.907498,30.8834311
El Maassara Post Office,29.908344,31.3033805
Post Office - 15th Of May 10,29.9096716,31.2952171
Post Office - Arab Sallam,29.9107323,31.289383
Post Office - Umm Khenan,29.9107963,31.2611327
Post Office - El Hawamdeya,29.920966,31.238774
Post Office - Shoubrament,29.932325,31.194752
Post Office - Asmant,29.9393204,31.2782333
Post Office - Ataqa,29.943073,32.463038
6th Of October Post Office Administration,29.9449023,30.9151113
Service complex,29.944976,30.915088
Main october,29.945526,30.906178
Post Office - Tora,29.946036,31.273064
Post Office - Tersa,29.9517097,31.219709
Post Office - Takrir El Petrol,29.9529929,32.4967345
Post Office - Culture & Science City,29.956714,30.914749
Post Office - Abou El Momros,29.957384,31.213292
Post Office - Wholesale Market,29.958183,31.028754
Maadi,29.96116,31.2569959
third district,29.9615578,30.9352372
Post Office - Maadi Armed Forces Hospital,29.9626961,31.2769423
Post Office - Kafr El Gabal,29.965016,31.150199
Post Office - Suez,29.966089,32.5556267
Post Office - Maadi,29.9687013,31.2497255
Post Office - Suez 2,29.9690843,32.5302297
El Souk El Togary Post Office,29.9692083,31.2699292
El Hossary,29.9727571,30.9434974
Post Office - New Maadi,29.9729924,31.2763667
Post Office - Nazlet El Semman,29.9761707,31.1414737
Post Office - El Haysameya,29.976918,31.397375
Post Office - Cairo Tower,29.980675,31.340171
Post Office - 6th October Club,29.9809623,30.9507382
Post Office - 7th District,29.9810191,30.9439558
Post Office - El Basateen Gharb,29.9813778,31.2658865
Post Office - El Sabbah City,29.981639,32.520556
Post Office - Geziret Dar El Salam,29.9824,31.2403
Post Office - El Arbaeen,29.982804,32.530088
Post Office - El Amin & El Rous,29.9829885,31.2450322
Post Office - El Haram El Seyahy,29.983761,31.133706
Post Office - El Malek Faisal,29.984902,32.5115616
Post Office - El Tawfiq,29.985283,32.495695
Post Office - El Basateen,29.9853761,31.2680238
El Remayah,29.9856473,31.1146492
Post Office - El Remaya,29.9860042,31.1145114
Post Office - Saqr Qoraish,29.9866604,31.2842286
Post Office - El Motamayez District,29.9881265,30.9781748
Post Office - Sahel El Ghelal,29.989393,31.232385
Mina garden city,29.9912562,30.9804499
Post Office - El Akhaidar,29.9914812,31.1547523
Post Office - Kafr Nassar,29.9917891,31.1327413
Post Office - 5th Compound,29.9931637,31.4221805
Post Office - El Konayyesa,29.993616,31.199181
Post Office - Saqiet Mekky,29.994854,31.213794
Post Office - Koum Bakkar,29.995332,31.140157
Post Office - El Omraneya El Gharbeya,29.995793,31.202704
Post Office - El Ahram,29.9987749,31.1725152
Post Office - Lawyers Syndicate,29.999249,31.1954328
Post Office - El Talbeya,29.9994702,31.1797823
Post Office - El Fonoun City,30.0013788,31.1974382
El Hadaba El Wosta Post Office,30.0014447,31.2903969
Post Office - Kafr Ghataty,30.00313,31.124049
Post Office - Arab Ghonaim,30.0045979,31.2292242
