adm1,name,address,phone,specialized,lat,lng,types
Menoufia,السادات المركزى,المنطقة الاولى - ش. الحسن بن على,048/2600047,FALSE,30.3670769,30.5059107,General
Menoufia,الشهداء المركزى,ش. بور سعيد,048/2750383,FALSE,30.5977250999999,30.9052277,General
Menoufia,بركة السبع العام,طريق هورين - البر الشرقى,048/2994200,FALSE,30.6355611,31.0902881,General
Menoufia,تلا المركزى,ش. السادات امام مجلس المدينة,048/3790404,FALSE,30.6844858,30.9502834,General
Menoufia,زاوية الناعورة المركزى,زاوية الناعورة,048/2772314,FALSE,30.546114,30.8615579,General
Menoufia,سرس الليان المركزى,ش. بور سعيد,048/3531431,FALSE,30.4424808,30.9609492,General
Menoufia,قويسنا المركزى,الطريق السريع,048/2573686,FALSE,30.5526142,31.1389988,General
Menoufia,منوف العام,ش. الجيش,048/3660012,FALSE,30.4720714,30.9273746,General
Menia,العدوة المركزى,ش. بور سعيد,086/7961624,FALSE,28.6950816,30.7745343,General
Menia,الفكرية المركزى,ابو قرقاص - ش. بورسعيد,086/2429850,FALSE,27.9352659,30.822401,General
Menia,المنيا العام,ش. بن خصيب بجوار الشبان المسلمين,086/2364099,FALSE,28.100991,30.754063,General
Menia,بنى مزار المركزى,ش. الابراهيمية,086/7882081,FALSE,28.505166,30.8009005,General
Menia,دير مواس المركزى,ش. 26 يوليو,086/2010503,FALSE,27.6442751,30.8576431,General
Menia,سمالوط المركزى,الطريق الزراعى,086/7713931,FALSE,28.2960914,30.7102247,General
Menia,مطاى المركزى,امتداد ش. الابراهيمية بجوار مجلس المدينة,086/7920503,FALSE,28.4215752,30.7905092,General
Menia,مغاغة المركزى,ش. المدارس,086/7550035,FALSE,28.6553588,30.8319363,General
Menia,ملوى العام,الترعة الديروطية نهاية ش. 26 يوليو,086/2632266,FALSE,27.729539,30.831981,General
New Valley,الخارجة العام,ش. النبوى المهندس,7920777,FALSE,25.4431002,30.549497,General
New Valley,الداخلة المركزى,موط,7821555,FALSE,25.4955024,28.9878023,General
New Valley,الفرافرة المركزى,الفرافرة,7510047,FALSE,27.0678439,27.9733425,General
New Valley,باريس المركزى,باريس,7975006,FALSE,NA,NA,General
